日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'600242,中昌数据,7.87,8.27,7.48,7.48,8.31,-0.44,-5.2948,12.186,50284395,390014177.0,3593954510.14,3247482301.13
2019-12-30,'600242,中昌数据,8.31,8.78,8.05,8.05,7.98,0.33,4.1353,16.9932,70120971,590995877.0,3794887163.82,3429044208.69
2019-12-27,'600242,中昌数据,7.98,7.98,7.07,7.29,7.25,0.73,10.069,11.3142,46687058,353138681.0,3644187673.56,3292872778.02
2019-12-26,'600242,中昌数据,7.25,7.5,6.83,6.87,6.95,0.3,4.3165,7.0977,29262803,209471902.0,3310822134.5,2989074826.75
2019-12-25,'600242,中昌数据,6.95,7.1,6.6,6.65,6.67,0.28,4.1979,4.9086,20237479,139691948.0,3173822597.9,2865388971.85
2019-12-24,'600242,中昌数据,6.67,6.69,6.54,6.57,6.55,0.12,1.8321,2.0821,8584087,56851101.0,3045956363.74,2749948840.61
2019-12-23,'600242,中昌数据,6.55,6.87,6.53,6.87,6.87,-0.32,-4.6579,3.4689,14301780,95274501.0,2991156549.1,2700474498.65
2019-12-20,'600242,中昌数据,6.87,7.14,6.82,7.13,7.13,-0.26,-3.6466,3.7175,15326870,107447768.0,3137289388.14,2832406077.21
2019-12-19,'600242,中昌数据,7.13,7.2,7.04,7.1,7.24,-0.11,-1.5193,5.6811,23422325,166547464.0,3256022319.86,2939600484.79
2019-12-18,'600242,中昌数据,7.24,7.48,6.66,6.7,6.84,0.4,5.848,9.1008,37521141,262333586.0,3306255483.28,2984951964.92
2019-12-17,'600242,中昌数据,6.84,7.1,6.54,6.55,6.54,0.3,4.5872,7.1895,29641124,202957393.0,3123589434.48,2820037491.72
2019-12-16,'600242,中昌数据,6.54,6.56,6.36,6.41,6.4,0.14,2.1875,4.2991,17724666,114366774.0,2986589897.88,2696351636.82
2019-12-13,'600242,中昌数据,6.4,6.46,6.35,6.38,6.36,0.04,0.6289,2.8193,11623481,74305780.0,2922656780.8,2638631571.2
2019-12-12,'600242,中昌数据,6.36,6.5,6.33,6.48,6.5,-0.14,-2.1538,3.1977,13183582,84206639.0,2904390175.92,2622140123.88
2019-12-11,'600242,中昌数据,6.5,6.62,6.47,6.62,6.64,-0.14,-2.1084,3.9044,16097316,104898512.0,2968323293.0,2679860189.5
2019-12-10,'600242,中昌数据,6.64,6.72,6.53,6.71,6.73,-0.09,-1.3373,3.9835,16423225,108424745.0,3032256410.08,2737580255.12
2019-12-09,'600242,中昌数据,6.73,6.81,6.51,6.52,6.68,0.05,0.7485,5.2752,21748865,145019306.0,3073356271.06,2774686011.59
2019-12-06,'600242,中昌数据,6.68,6.76,6.29,6.29,6.99,-0.31,-4.4349,7.1597,29518597,192312645.0,3050523014.96,2754071702.44
2019-12-05,'600242,中昌数据,6.99,7.02,6.85,6.94,6.95,0.04,0.5755,3.2661,13465800,93569550.0,3192089202.78,2881880419.17
2019-12-04,'600242,中昌数据,6.95,7.38,6.87,7.38,7.19,-0.24,-3.338,6.1548,25375278,179392932.0,3173822597.9,2865388971.85
2019-12-03,'600242,中昌数据,7.19,7.19,6.54,6.6,6.54,0.65,9.9388,2.5046,10326099,72188890.0,3283422227.18,2964337655.77
