日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'600965,福成股份,7.08,7.13,6.9,6.94,6.95,0.13,1.8705,0.5301,4340009,30678742.0,5796402761.4,5796402761.4
2019-12-30,'600965,福成股份,6.95,6.95,6.85,6.93,6.95,0.0,0.0,0.2726,2231742,15401384.0,5689971637.25,5689971637.25
2019-12-27,'600965,福成股份,6.95,6.97,6.9,6.93,6.92,0.03,0.4335,0.4621,3783572,26225862.0,5689971637.25,5689971637.25
2019-12-26,'600965,福成股份,6.92,6.94,6.87,6.93,6.95,-0.03,-0.4317,0.3292,2695092,18589838.0,5665410608.6,5665410608.6
2019-12-25,'600965,福成股份,6.95,6.98,6.87,6.97,6.96,-0.01,-0.1437,0.3259,2667760,18445691.0,5689971637.25,5689971637.25
2019-12-24,'600965,福成股份,6.96,6.97,6.88,6.92,6.92,0.04,0.578,0.2739,2242803,15535314.0,5698158646.8,5698158646.8
2019-12-23,'600965,福成股份,6.92,7.16,6.89,7.11,7.16,-0.24,-3.352,0.5757,4712898,32999287.0,5665410608.6,5665410608.6
2019-12-20,'600965,福成股份,7.16,7.28,7.16,7.22,7.22,-0.06,-0.831,0.639,5231546,37861273.0,5861898837.8,5861898837.8
2019-12-19,'600965,福成股份,7.22,7.25,7.16,7.18,7.19,0.03,0.4172,0.5146,4213274,30328730.0,5911020895.1,5911020895.1
2019-12-18,'600965,福成股份,7.19,7.24,7.15,7.17,7.18,0.01,0.1393,0.8086,6619701,47582612.0,5886459866.45,5886459866.45
2019-12-17,'600965,福成股份,7.18,7.29,7.05,7.1,7.09,0.09,1.2694,0.8426,6898143,49407921.0,5878272856.9,5878272856.9
2019-12-16,'600965,福成股份,7.09,7.09,6.99,7.02,7.06,0.03,0.4249,0.3231,2645200,18656927.0,5804589770.95,5804589770.95
2019-12-13,'600965,福成股份,7.06,7.07,6.96,7.02,6.98,0.08,1.1461,0.2263,1852760,13037462.0,5780028742.3,5780028742.3
2019-12-12,'600965,福成股份,6.98,7.08,6.93,7.03,7.03,-0.05,-0.7112,0.2048,1676840,11690588.0,5714532665.9,5714532665.9
2019-12-11,'600965,福成股份,7.03,7.1,7.01,7.07,7.07,-0.04,-0.5658,0.211,1727124,12149881.0,5755467713.65,5755467713.65
2019-12-10,'600965,福成股份,7.07,7.12,7.04,7.12,7.12,-0.05,-0.7022,0.3243,2654760,18768990.0,5788215751.85,5788215751.85
2019-12-09,'600965,福成股份,7.12,7.3,7.08,7.23,7.24,-0.12,-1.6575,0.441,3610801,25905708.0,5829150799.6,5829150799.6
2019-12-06,'600965,福成股份,7.24,7.34,7.17,7.2,7.2,0.04,0.5556,0.4096,3353653,24362069.0,5927394914.2,5927394914.2
2019-12-05,'600965,福成股份,7.2,7.23,7.14,7.18,7.21,-0.01,-0.1387,0.2902,2376061,17070900.0,5894646876.0,5894646876.0
2019-12-04,'600965,福成股份,7.21,7.26,6.96,6.96,7.01,0.2,2.8531,0.3659,2995600,21475442.0,5902833885.55,5902833885.55
2019-12-03,'600965,福成股份,7.01,7.04,6.89,7.01,7.0,0.01,0.1429,0.1727,1413800,9844940.0,5739093694.55,5739093694.55
2019-12-02,'600965,福成股份,7.0,7.05,6.98,7.04,7.02,-0.02,-0.2849,0.1352,1106922,7762353.0,5730906685.0,5730906685.0
2019-11-29,'600965,福成股份,7.02,7.06,6.97,6.99,7.01,0.01,0.1427,0.1765,1445228,10148699.0,5747280704.1,5747280704.1
2019-11-28,'600965,福成股份,7.01,7.05,6.96,7.05,7.04,-0.03,-0.4261,0.105,859300,6029468.0,5739093694.55,5739093694.55
2019-11-27,'600965,福成股份,7.04,7.05,6.95,7.05,6.99,0.05,0.7153,0.1575,1289783,9034609.0,5763654723.2,5763654723.2
2019-11-26,'600965,福成股份,6.99,7.09,6.96,7.0,6.96,0.03,0.431,0.138,1130130,7915198.0,5722719675.45,5722719675.45
2019-11-25,'600965,福成股份,6.96,7.05,6.85,6.97,6.93,0.03,0.4329,0.239,1956922,13636074.0,5698158646.8,5698158646.8
2019-11-22,'600965,福成股份,6.93,7.07,6.88,6.96,6.98,-0.05,-0.7163,0.1972,1614401,11247669.0,5673597618.15,5673597618.15
2019-11-21,'600965,福成股份,6.98,7.14,6.96,7.14,7.14,-0.16,-2.2409,0.2715,2222509,15588723.0,5714532665.9,5714532665.9
2019-11-20,'600965,福成股份,7.14,7.17,6.92,6.92,6.95,0.19,2.7338,0.392,3209654,22766989.0,5845524818.7,5845524818.7
2019-11-19,'600965,福成股份,6.95,6.99,6.77,6.81,6.8,0.15,2.2059,0.2721,2227818,15397739.0,5689971637.25,5689971637.25
2019-11-18,'600965,福成股份,6.8,6.86,6.72,6.78,6.8,0.0,0.0,0.2288,1873547,12750334.0,5567166494.0,5567166494.0
2019-11-15,'600965,福成股份,6.8,6.99,6.78,6.95,6.94,-0.14,-2.0173,0.2726,2232059,15297892.0,5567166494.0,5567166494.0
2019-11-14,'600965,福成股份,6.94,6.96,6.76,6.77,6.82,0.12,1.7595,0.3108,2544265,17572768.0,5681784627.7,5681784627.7
2019-11-13,'600965,福成股份,6.82,6.96,6.77,6.96,6.94,-0.12,-1.7291,0.3258,2667723,18245147.0,5583540513.1,5583540513.1
2019-11-12,'600965,福成股份,6.94,7.1,6.86,7.09,7.04,-0.1,-1.4205,0.3278,2683765,18618431.0,5681784627.7,5681784627.7
