日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'603178,圣龙股份,11.95,12.4,11.42,12.02,11.9,0.05,0.4202,16.5275,8422893,100610397.0,2412009510.0,609007850.0
2019-12-30,'603178,圣龙股份,11.9,12.7,11.38,11.52,11.84,0.06,0.5068,25.2659,12876255,155338640.0,2401917420.0,606459700.0
2019-12-27,'603178,圣龙股份,11.84,11.84,10.66,10.75,10.76,1.08,10.0372,37.1572,18936440,215727094.0,2389806912.0,603401920.0
2019-12-26,'603178,圣龙股份,10.76,10.76,9.75,9.79,9.78,0.98,10.0204,23.6424,12048880,126170312.0,2171817768.0,548361880.0
2019-12-25,'603178,圣龙股份,9.78,9.79,9.54,9.64,9.67,0.11,1.1375,7.8331,3992001,38472346.0,1974012804.0,498418140.0
2019-12-24,'603178,圣龙股份,9.67,9.79,9.56,9.75,9.79,-0.12,-1.2257,8.6418,4404115,42467670.0,1951810206.0,492812210.0
2019-12-23,'603178,圣龙股份,9.79,10.33,9.7,10.18,10.64,-0.85,-7.9887,15.5578,7928703,78342906.0,1976031222.0,498927770.0
2019-12-20,'603178,圣龙股份,10.64,12.56,10.61,12.56,11.79,-1.15,-9.754,32.5828,16605181,186806017.0,2147596752.0,542246320.0
2019-12-19,'603178,圣龙股份,11.79,11.79,10.58,10.7,10.72,1.07,9.9813,44.0517,22450077,260204361.0,2379714822.0,600853770.0
2019-12-18,'603178,圣龙股份,10.72,10.78,10.54,10.7,10.7,0.02,0.1869,2.6207,1335612,14216203.0,2163744096.0,546323360.0
2019-12-17,'603178,圣龙股份,10.7,10.78,10.66,10.77,10.78,-0.08,-0.7421,1.6771,854700,9152461.0,2159707260.0,545304100.0
2019-12-16,'603178,圣龙股份,10.78,10.98,10.66,10.97,10.8,-0.02,-0.1852,2.5722,1310873,14108276.0,2175854604.0,549381140.0
2019-12-13,'603178,圣龙股份,10.8,10.82,10.59,10.63,10.61,0.19,1.7908,1.8299,932563,9988676.0,2179891440.0,550400400.0
2019-12-12,'603178,圣龙股份,10.61,10.78,10.58,10.78,10.79,-0.18,-1.6682,1.962,999900,10641355.0,2141541498.0,540717430.0
2019-12-11,'603178,圣龙股份,10.79,10.85,10.68,10.79,10.89,-0.1,-0.9183,1.8201,927600,9983098.0,2177873022.0,549890770.0
2019-12-10,'603178,圣龙股份,10.89,10.9,10.5,10.64,10.77,0.12,1.1142,4.4619,2273926,24329084.0,2198057202.0,554987070.0
2019-12-09,'603178,圣龙股份,10.77,10.88,10.68,10.88,10.89,-0.12,-1.1019,3.1508,1605750,17309193.0,2173836186.0,548871510.0
2019-12-06,'603178,圣龙股份,10.89,10.93,10.72,10.88,10.89,0.0,0.0,2.3146,1179587,12776375.0,2198057202.0,554987070.0
2019-12-05,'603178,圣龙股份,10.89,10.97,10.8,10.96,10.95,-0.06,-0.5479,4.2559,2168942,23606514.0,2198057202.0,554987070.0
2019-12-04,'603178,圣龙股份,10.95,11.0,10.72,10.9,10.91,0.04,0.3666,5.2533,2677223,29320181.0,2210167710.0,558044850.0
2019-12-03,'603178,圣龙股份,10.91,10.94,10.52,10.88,10.84,0.07,0.6458,3.8462,1960123,21250538.0,2202094038.0,556006330.0
2019-12-02,'603178,圣龙股份,10.84,10.95,10.6,10.81,10.76,0.08,0.7435,2.3226,1183660,12783471.0,2187965112.0,552438920.0
2019-11-29,'603178,圣龙股份,10.76,10.82,10.41,10.55,10.53,0.23,2.1842,4.4864,2286429,24382747.0,2171817768.0,548361880.0
2019-11-28,'603178,圣龙股份,10.53,10.68,10.31,10.52,10.5,0.03,0.2857,4.2826,2182533,22882247.0,2125394154.0,536640390.0
2019-11-27,'603178,圣龙股份,10.5,10.5,10.19,10.33,10.23,0.27,2.6393,5.4313,2767944,28857228.0,2119338900.0,535111500.0
2019-11-26,'603178,圣龙股份,10.23,10.25,9.84,9.85,9.9,0.33,3.3333,3.9771,2026837,20472649.0,2064841614.0,521351490.0
2019-11-25,'603178,圣龙股份,9.9,9.94,9.75,9.88,9.88,0.02,0.2024,1.0602,540335,5324967.0,1998233820.0,504533700.0
2019-11-22,'603178,圣龙股份,9.88,9.99,9.8,9.97,9.92,-0.04,-0.4032,1.7096,871284,8601516.0,1994196984.0,503514440.0
2019-11-21,'603178,圣龙股份,9.92,9.98,9.0,9.8,9.92,0.0,0.0,2.8358,1445200,14226518.0,2002270656.0,505552960.0
2019-11-20,'603178,圣龙股份,9.92,9.95,9.79,9.9,9.86,0.06,0.6085,1.6216,826400,8158579.0,2002270656.0,505552960.0
2019-11-19,'603178,圣龙股份,9.86,9.97,9.8,9.84,9.8,0.06,0.6122,2.2012,1121800,11066594.0,1990160148.0,502495180.0
2019-11-18,'603178,圣龙股份,9.8,9.95,9.7,9.92,9.8,0.0,0.0,2.5203,1284400,12619924.0,1978049640.0,499437400.0
2019-11-15,'603178,圣龙股份,9.8,10.15,9.8,10.05,10.45,-0.65,-6.2201,5.3837,2743700,27254508.0,1978049640.0,499437400.0
2019-11-14,'603178,圣龙股份,10.45,11.0,9.6,9.6,10.55,-0.1,-0.9479,18.9371,9650913,95153929.0,2109246810.0,532563350.0
2019-11-13,'603178,圣龙股份,10.55,11.68,10.55,11.68,11.72,-1.17,-9.9829,5.3806,2742100,30468609.0,2129430990.0,537659650.0
2019-11-12,'603178,圣龙股份,11.72,11.77,11.03,11.3,11.12,0.6,5.3957,14.5219,7400808,85139936.0,2365585896.0,597286360.0
2019-11-11,'603178,圣龙股份,11.12,11.36,11.06,11.2,11.25,-0.13,-1.1556,5.6994,2904600,32668965.0,2244480816.0,566708560.0
2019-11-08,'603178,圣龙股份,11.25,11.5,10.88,11.19,11.23,0.02,0.1781,6.2901,3205600,35856022.0,2270720250.0,573333750.0
2019-11-07,'603178,圣龙股份,11.23,11.3,11.03,11.3,11.35,-0.12,-1.0573,4.8363,2464731,27577785.0,2266683414.0,572314490.0
2019-11-06,'603178,圣龙股份,11.35,11.4,10.85,11.0,11.11,0.24,2.1602,6.3446,3233395,36249366.0,2290904430.0,578430050.0
2019-11-05,'603178,圣龙股份,11.11,11.3,10.83,11.3,11.11,0.0,0.0,3.3098,1686774,18575309.0,2242462398.0,566198930.0
2019-11-04,'603178,圣龙股份,11.11,11.19,10.65,10.65,10.7,0.41,3.8318,7.4895,3816880,41719609.0,2242462398.0,566198930.0
2019-11-01,'603178,圣龙股份,10.7,10.8,10.1,10.34,10.34,0.36,3.4816,5.7621,2936525,30600332.0,2159707260.0,545304100.0
