日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'603630,拉芳家化,13.5,13.5,13.05,13.19,13.19,0.31,2.3503,3.4759,2825680,37690697.0,3060720000.0,1097459415.0
2019-12-30,'603630,拉芳家化,13.19,13.28,12.86,12.9,12.99,0.2,1.5396,2.4971,2029960,26646034.0,2990436800.0,1072258495.1
2019-12-27,'603630,拉芳家化,12.99,13.5,12.98,13.1,13.08,-0.09,-0.6881,3.4095,2771690,36697406.0,2945092800.0,1055999837.1
2019-12-26,'603630,拉芳家化,13.08,13.26,12.7,12.73,12.78,0.3,2.3474,2.5314,2057878,26757756.0,2965497600.0,1063316233.2
2019-12-25,'603630,拉芳家化,12.78,12.94,12.68,12.83,12.87,-0.09,-0.6993,0.9891,804070,10286926.0,2897481600.0,1038928246.2
2019-12-24,'603630,拉芳家化,12.87,12.88,12.71,12.79,12.71,0.16,1.2589,1.2245,995451,12757562.0,2917886400.0,1046244642.3
2019-12-23,'603630,拉芳家化,12.71,12.91,12.61,12.9,12.9,-0.19,-1.4729,1.1695,950710,12136605.0,2881611200.0,1033237715.9
2019-12-20,'603630,拉芳家化,12.9,13.09,12.9,13.05,13.04,-0.14,-1.0736,1.202,977170,12652906.0,2924688000.0,1048683441.0
2019-12-19,'603630,拉芳家化,13.04,13.08,12.82,12.82,12.84,0.2,1.5576,1.3938,1133030,14658052.0,2956428800.0,1060064501.6
2019-12-18,'603630,拉芳家化,12.84,12.95,12.8,12.91,12.92,-0.08,-0.6192,1.3773,1119661,14398869.0,2911084800.0,1043805843.6
2019-12-17,'603630,拉芳家化,12.92,12.92,12.76,12.76,12.75,0.17,1.3333,1.4648,1190771,15327858.0,2929222400.0,1050309306.8
2019-12-16,'603630,拉芳家化,12.75,12.79,12.53,12.54,12.52,0.23,1.8371,1.5156,1232041,15600777.0,2890680000.0,1036489447.5
2019-12-13,'603630,拉芳家化,12.52,12.54,12.38,12.39,12.35,0.17,1.3765,0.9852,800910,9994951.0,2838534400.0,1017791990.8
2019-12-12,'603630,拉芳家化,12.35,12.52,12.34,12.52,12.52,-0.17,-1.3578,1.1776,957300,11888168.0,2799992000.0,1003972131.5
