日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'688288,鸿泉物联,32.12,32.49,31.78,31.91,31.81,0.31,0.9745,5.8659,1194060,38366036.0,3212000000.0,653837032.64
2019-12-30,'688288,鸿泉物联,31.81,32.11,31.18,32.1,32.1,-0.29,-0.9034,7.922,1612611,51116845.0,3181000000.0,647526650.32
2019-12-27,'688288,鸿泉物联,32.1,33.4,32.02,33.08,33.11,-1.01,-3.0504,10.9765,2234393,73237223.0,3210000000.0,653429911.2
2019-12-26,'688288,鸿泉物联,33.11,34.0,32.89,33.35,33.38,-0.27,-0.8089,11.7515,2392151,79881277.0,3311000000.0,673989543.92
2019-12-25,'688288,鸿泉物联,33.38,33.95,32.5,32.7,32.72,0.66,2.0171,13.6631,2781266,92551853.0,3338000000.0,679485683.36
2019-12-24,'688288,鸿泉物联,32.72,32.97,32.13,32.15,32.3,0.42,1.3003,10.4135,2119775,69010131.0,3272000000.0,666050675.84
2019-12-23,'688288,鸿泉物联,32.3,34.9,32.11,33.79,33.79,-1.49,-4.4096,13.9346,2836536,94764055.0,3230000000.0,657501125.6
2019-12-20,'688288,鸿泉物联,33.79,35.16,33.35,33.37,34.19,-0.4,-1.1699,16.4398,3346499,114309120.0,3379000000.0,687831672.88
2019-12-19,'688288,鸿泉物联,34.19,36.3,33.19,33.66,33.5,0.69,2.0597,27.159,5528507,192212621.0,3419000000.0,695974101.68
2019-12-18,'688288,鸿泉物联,33.5,34.06,32.51,32.51,32.48,1.02,3.1404,18.6042,3787086,126365144.0,3350000000.0,681928412.0
2019-12-17,'688288,鸿泉物联,32.48,32.8,31.89,32.3,32.2,0.28,0.8696,14.0344,2856857,92485483.0,3248000000.0,661165218.56
2019-12-16,'688288,鸿泉物联,32.2,32.23,31.39,31.39,31.3,0.9,2.8754,11.9816,2438991,77938457.0,3220000000.0,655465518.4
2019-12-13,'688288,鸿泉物联,31.3,31.9,30.92,31.55,31.28,0.02,0.0639,8.9319,1818187,56847748.0,3130000000.0,637145053.6
2019-12-12,'688288,鸿泉物联,31.28,31.99,31.05,31.35,31.02,0.26,0.8382,11.9174,2425917,76444920.0,3128000000.0,636737932.16
2019-12-11,'688288,鸿泉物联,31.02,32.24,31.0,31.5,31.78,-0.76,-2.3914,15.2508,3104474,97676544.0,3102000000.0,631445353.44
