日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'000622,恒立实业,4.77,4.85,4.75,4.82,4.81,-0.04,-0.8316,1.9058,8104075,38852472.75,2028328020.0,2028328020.0
2019-12-30,'000622,恒立实业,4.81,4.9,4.71,4.85,4.9,-0.09,-1.8367,2.6035,11070892,53182502.2,2045337060.0,2045337060.0
2019-12-27,'000622,恒立实业,4.9,5.0,4.82,4.87,4.85,0.05,1.0309,3.3945,14434331,70823182.66,2083607400.0,2083607400.0
2019-12-26,'000622,恒立实业,4.85,4.87,4.79,4.79,4.81,0.04,0.8316,1.886,8019775,38746565.0,2062346100.0,2062346100.0
2019-12-25,'000622,恒立实业,4.81,4.89,4.79,4.86,4.86,-0.05,-1.0288,2.2824,9705515,46910455.05,2045337060.0,2045337060.0
2019-12-24,'000622,恒立实业,4.86,4.89,4.75,4.82,4.82,0.04,0.8299,2.7676,11768418,56780576.97,2066598360.0,2066598360.0
2019-12-23,'000622,恒立实业,4.82,5.07,4.8,5.04,5.08,-0.26,-5.1181,3.8899,16540803,81223853.67,2049589320.0,2049589320.0
2019-12-20,'000622,恒立实业,5.08,5.22,5.0,5.09,5.05,0.03,0.5941,5.6801,24153163,123130905.83,2160148080.0,2160148080.0
2019-12-19,'000622,恒立实业,5.05,5.14,5.0,5.0,5.01,0.04,0.7984,4.6032,19573810,99327606.07,2147391300.0,2147391300.0
2019-12-18,'000622,恒立实业,5.01,5.07,4.96,5.01,5.03,-0.02,-0.3976,4.0261,17120092,85653174.0,2130382260.0,2130382260.0
2019-12-17,'000622,恒立实业,5.03,5.09,4.93,4.98,4.97,0.06,1.2072,5.2049,22132602,110957328.12,2138886780.0,2138886780.0
2019-12-16,'000622,恒立实业,4.97,5.0,4.91,4.98,4.95,0.02,0.404,3.3347,14179860,70196519.46,2113373220.0,2113373220.0
2019-12-13,'000622,恒立实业,4.95,5.02,4.92,4.95,4.94,0.01,0.2024,2.8649,12182160,60365214.08,2104868700.0,2104868700.0
2019-12-12,'000622,恒立实业,4.94,5.07,4.93,5.04,5.13,-0.19,-3.7037,5.5891,23766107,118938965.48,2100616440.0,2100616440.0
2019-12-11,'000622,恒立实业,5.13,5.34,4.8,4.87,4.89,0.24,4.908,9.8394,41839571,210283269.12,2181409380.0,2181409380.0
2019-12-10,'000622,恒立实业,4.89,4.93,4.84,4.84,4.91,-0.02,-0.4073,4.4936,19108045,93242733.89,2079355140.0,2079355140.0
2019-12-09,'000622,恒立实业,4.91,4.95,4.76,4.8,4.82,0.09,1.8672,5.6122,23864571,115977787.91,2087859660.0,2087859660.0
2019-12-06,'000622,恒立实业,4.82,5.08,4.8,4.95,4.99,-0.17,-3.4068,6.8878,29288773,143131066.34,2049589320.0,2049589320.0
2019-12-05,'000622,恒立实业,4.99,5.08,4.9,4.91,5.11,-0.12,-2.3483,8.6487,36776684,183022010.06,2121877740.0,2121877740.0
2019-12-04,'000622,恒立实业,5.11,5.39,4.94,5.08,4.94,0.17,3.4413,15.1421,64388262,331272587.77,2172904860.0,2172904860.0
2019-12-03,'000622,恒立实业,4.94,4.94,4.42,4.46,4.49,0.45,10.0223,5.0351,21410675,101654530.91,2100616440.0,2100616440.0
2019-12-02,'000622,恒立实业,4.49,4.53,4.45,4.46,4.48,0.01,0.2232,1.2229,5200260,23371226.99,1909264740.0,1909264740.0
2019-11-29,'000622,恒立实业,4.48,4.55,4.41,4.5,4.49,-0.01,-0.2227,1.2744,5419103,24207188.26,1905012480.0,1905012480.0
2019-11-28,'000622,恒立实业,4.49,4.57,4.42,4.42,4.48,0.01,0.2232,1.724,7331001,32992350.47,1909264740.0,1909264740.0
2019-11-27,'000622,恒立实业,4.48,4.59,4.38,4.38,4.42,0.06,1.3575,1.5254,6486400,29183254.0,1905012480.0,1905012480.0
2019-11-26,'000622,恒立实业,4.42,4.47,4.41,4.46,4.46,-0.04,-0.8969,0.9053,3849438,17064279.34,1879498920.0,1879498920.0
2019-11-25,'000622,恒立实业,4.46,4.53,4.39,4.53,4.5,-0.04,-0.8889,1.2701,5400605,23975166.6,1896507960.0,1896507960.0
2019-11-22,'000622,恒立实业,4.5,4.67,4.46,4.55,4.63,-0.13,-2.8078,2.4015,10211900,46517015.0,1913517000.0,1913517000.0
2019-11-21,'000622,恒立实业,4.63,4.82,4.41,4.44,4.47,0.16,3.5794,3.0274,12873210,59302182.2,1968796380.0,1968796380.0
2019-11-20,'000622,恒立实业,4.47,4.58,4.44,4.45,4.46,0.01,0.2242,1.3162,5596900,25205698.0,1900760220.0,1900760220.0
2019-11-19,'000622,恒立实业,4.46,4.48,4.38,4.4,4.41,0.05,1.1338,1.0523,4474500,19896119.0,1896507960.0,1896507960.0
2019-11-18,'000622,恒立实业,4.41,4.46,4.32,4.44,4.48,-0.07,-1.5625,1.4016,5959800,26174961.0,1875246660.0,1875246660.0
2019-11-15,'000622,恒立实业,4.48,4.65,4.38,4.39,4.4,0.08,1.8182,2.2539,9584100,43355494.0,1905012480.0,1905012480.0
2019-11-14,'000622,恒立实业,4.4,4.43,4.31,4.35,4.4,0.0,0.0,1.0301,4380200,19190466.0,1870994400.0,1870994400.0
2019-11-13,'000622,恒立实业,4.4,4.54,4.33,4.52,4.54,-0.14,-3.0837,1.6202,6889300,30473519.0,1870994400.0,1870994400.0
2019-11-12,'000622,恒立实业,4.54,4.58,4.42,4.5,4.47,0.07,1.566,1.2459,5297800,23890699.0,1930526040.0,1930526040.0
