日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'000673,当代东方,5.1,5.32,5.05,5.22,5.16,-0.06,-1.1628,4.7721,37680974,194304542.44,4036907254.2,4026980950.8
2019-12-30,'000673,当代东方,5.16,5.2,4.68,5.1,5.2,-0.04,-0.7692,6.8539,54118503,271467693.46,4084400280.72,4074357197.28
2019-12-27,'000673,当代东方,5.2,5.45,5.15,5.45,5.36,-0.16,-2.9851,6.4122,50631039,268274116.17,4116062298.4,4105941361.6
2019-12-26,'000673,当代东方,5.36,5.48,5.21,5.39,5.42,-0.06,-1.107,6.0601,47850632,255218812.26,4242710369.12,4232278018.88
2019-12-25,'000673,当代东方,5.42,5.63,5.33,5.35,5.33,0.09,1.6886,8.4375,66623107,364495565.94,4290203395.64,4279654265.36
2019-12-24,'000673,当代东方,5.33,5.38,5.13,5.24,5.24,0.09,1.7176,7.0927,56004468,294457149.21,4218963855.86,4208589895.64
2019-12-23,'000673,当代东方,5.24,5.66,5.15,5.66,5.61,-0.37,-6.5954,8.499,67108500,358604686.0,4147724316.08,4137525525.92
2019-12-20,'000673,当代东方,5.61,5.9,5.52,5.9,5.98,-0.37,-6.1873,10.7995,85273033,485673647.73,4440597979.62,4429679045.88
2019-12-19,'000673,当代东方,5.98,6.22,5.91,5.95,5.91,0.07,1.1844,12.3293,97352760,590034902.51,4733471643.16,4721832565.84
2019-12-18,'000673,当代东方,5.91,6.12,5.88,6.03,6.15,-0.24,-3.9024,13.657,107836310,645925638.94,4678063112.22,4666560278.28
2019-12-17,'000673,当代东方,6.15,6.31,5.82,5.91,5.81,0.34,5.852,16.3671,129235140,794994394.77,4868035218.3,4856065264.2
2019-12-16,'000673,当代东方,5.81,5.94,5.65,5.71,5.69,0.12,2.109,11.8381,93474434,543302510.46,4598908068.02,4587599867.48
2019-12-13,'000673,当代东方,5.69,5.81,5.53,5.72,5.7,-0.01,-0.1754,10.6479,84076640,475840794.12,4503922014.98,4492847374.52
2019-12-12,'000673,当代东方,5.7,6.04,5.67,5.88,6.3,-0.6,-9.5238,18.0441,142477129,825702765.4,4511837519.4,4500743415.6
2019-12-11,'000673,当代东方,6.3,6.55,6.0,6.0,6.03,0.27,4.4776,21.1426,166943077,1053220379.12,4986767784.6,4974505880.4
2019-12-10,'000673,当代东方,6.03,6.67,5.76,6.51,6.2,-0.17,-2.7419,24.1477,190670844,1185014209.24,4773049165.26,4761312771.24
2019-12-09,'000673,当代东方,6.2,6.2,5.74,5.74,5.64,0.56,9.9291,15.2898,120728774,728383556.17,4907612740.4,4895545469.6
2019-12-06,'000673,当代东方,5.64,5.64,5.24,5.38,5.13,0.51,9.9415,16.1321,127379986,695169625.72,4464344492.88,4453367169.12
2019-12-05,'000673,当代东方,5.13,5.13,4.58,4.62,4.66,0.47,10.0858,11.7139,92493435,453253445.36,4060653767.46,4050669074.04
2019-12-04,'000673,当代东方,4.66,4.8,4.55,4.69,4.82,-0.16,-3.3195,9.3954,74186070,346284764.4,3688625059.72,3679555143.28
2019-12-03,'000673,当代东方,4.82,5.07,4.75,4.87,4.97,-0.15,-3.0181,10.7069,84542339,414506713.52,3815273130.44,3805891800.56
2019-12-02,'000673,当代东方,4.97,5.15,4.56,4.76,4.79,0.18,3.7578,13.5523,107009823,518634058.55,3934005696.74,3924332416.76
