日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'000892,欢瑞世纪,5.01,5.15,4.98,5.12,5.05,-0.04,-0.7921,1.9314,10408844,52631838.73,4914712169.73,2700067446.18
2019-12-30,'000892,欢瑞世纪,5.05,5.17,4.96,5.17,5.17,-0.12,-2.3211,1.5114,8145307,41069625.27,4953951388.65,2721624870.9
2019-12-27,'000892,欢瑞世纪,5.17,5.33,5.15,5.32,5.29,-0.12,-2.2684,1.027,5534683,29009480.72,5071669045.41,2786297145.06
2019-12-26,'000892,欢瑞世纪,5.29,5.37,5.22,5.36,5.42,-0.13,-2.3985,1.2913,6959202,36782121.97,5189386702.17,2850969419.22
2019-12-25,'000892,欢瑞世纪,5.42,5.43,5.17,5.42,5.42,0.0,0.0,2.0137,10852799,57254555.51,5316914163.66,2921031049.56
2019-12-24,'000892,欢瑞世纪,5.42,5.49,5.32,5.35,5.4,0.02,0.3704,0.7712,4156116,22481244.66,5316914163.66,2921031049.56
2019-12-23,'000892,欢瑞世纪,5.4,5.75,5.3,5.73,5.76,-0.36,-6.25,1.5431,8316421,45677162.92,5297294554.2,2910252337.2
2019-12-20,'000892,欢瑞世纪,5.76,5.76,5.48,5.66,5.71,0.05,0.8757,2.0585,11093756,62465068.36,5650447524.48,3104269159.68
2019-12-19,'000892,欢瑞世纪,5.71,5.95,5.47,5.61,5.54,0.17,3.0686,2.5021,13484468,76340221.79,5601398500.83,3077322378.78
2019-12-18,'000892,欢瑞世纪,5.54,5.82,5.51,5.81,5.79,-0.25,-4.3178,1.6185,8722592,49088978.73,5434631820.42,2985703323.72
2019-12-17,'000892,欢瑞世纪,5.79,5.99,5.7,5.79,5.72,0.07,1.2238,2.3882,12870718,75142933.55,5679876938.67,3120437228.22
2019-12-16,'000892,欢瑞世纪,5.72,5.84,5.48,5.48,5.49,0.23,4.1894,2.1259,11457094,65415634.76,5611208305.56,3082711734.96
2019-12-13,'000892,欢瑞世纪,5.49,5.6,5.46,5.58,5.62,-0.13,-2.3132,1.2326,6642909,36676751.27,5385582796.77,2958756542.82
2019-12-12,'000892,欢瑞世纪,5.62,5.82,5.6,5.78,5.75,-0.13,-2.2609,1.4974,8070193,45891846.14,5513110258.26,3028818173.16
2019-12-11,'000892,欢瑞世纪,5.75,5.97,5.51,5.54,5.54,0.21,3.7906,3.1599,17029836,99217357.52,5640637719.75,3098879803.5
2019-12-10,'000892,欢瑞世纪,5.54,5.57,5.24,5.3,5.3,0.24,4.5283,1.9236,10367223,56902067.75,5434631820.42,2985703323.72
2019-12-09,'000892,欢瑞世纪,5.3,5.43,5.27,5.36,5.35,-0.05,-0.9346,1.1808,6363579,34129421.42,5199196506.9,2856358775.4
2019-12-06,'000892,欢瑞世纪,5.35,5.36,5.01,5.08,5.06,0.29,5.7312,1.6696,8998038,47025622.51,5248245530.55,2883305556.3
2019-12-05,'000892,欢瑞世纪,5.06,5.19,4.92,5.09,5.1,-0.04,-0.7843,1.4729,7938209,40191022.3,4963761193.38,2727014227.08
2019-12-04,'000892,欢瑞世纪,5.1,5.19,5.07,5.14,5.14,-0.04,-0.7782,0.4395,2368500,12108872.0,5003000412.3,2748571651.8
2019-12-03,'000892,欢瑞世纪,5.14,5.23,5.12,5.23,5.22,-0.08,-1.5326,0.313,1687072,8693795.51,5042239631.22,2770129076.52
2019-12-02,'000892,欢瑞世纪,5.22,5.31,5.12,5.31,5.22,0.0,0.0,0.5473,2949389,15259843.2,5120718069.06,2813243925.96
2019-11-29,'000892,欢瑞世纪,5.22,5.34,5.17,5.34,5.3,-0.08,-1.5094,0.7332,3951726,20779854.5,5120718069.06,2813243925.96
2019-11-28,'000892,欢瑞世纪,5.3,5.35,5.21,5.27,5.27,0.03,0.5693,0.56,3017874,16003278.34,5199196506.9,2856358775.4
2019-11-27,'000892,欢瑞世纪,5.27,5.37,5.17,5.36,5.38,-0.11,-2.0446,0.7646,4120626,21592540.68,5169767092.71,2840190706.86
2019-11-26,'000892,欢瑞世纪,5.38,5.48,5.24,5.38,5.39,-0.01,-0.1855,1.0692,5762401,30915824.51,5277674944.74,2899473624.84
2019-11-25,'000892,欢瑞世纪,5.39,5.65,5.23,5.35,5.45,-0.06,-1.1009,2.0168,10869212,58725665.22,5287484749.47,2904862981.02
2019-11-22,'000892,欢瑞世纪,5.45,5.56,5.11,5.32,5.25,0.2,3.8095,2.3811,12832606,68517258.85,5346343577.85,2937199118.1
2019-11-21,'000892,欢瑞世纪,5.25,5.43,5.24,5.43,5.47,-0.22,-4.0219,1.6747,9025701,47991825.18,5150147483.25,2829411994.5
2019-11-20,'000892,欢瑞世纪,5.47,5.47,4.9,4.96,4.97,0.5,10.0604,3.3014,17792557,94815535.33,5365963187.31,2947977830.46
2019-11-19,'000892,欢瑞世纪,4.97,5.07,4.89,5.07,5.01,-0.04,-0.7984,1.1848,6385078,31563175.98,4875472950.81,2678510021.46
2019-11-18,'000892,欢瑞世纪,5.01,5.12,4.94,5.03,5.02,-0.01,-0.1992,0.8814,4750259,23914290.43,4914712169.73,2700067446.18
2019-11-15,'000892,欢瑞世纪,5.02,5.22,4.96,5.17,5.15,-0.13,-2.5243,1.2383,6673436,33612123.72,4924521974.46,2705456802.36
2019-11-14,'000892,欢瑞世纪,5.15,5.25,5.12,5.16,5.15,0.0,0.0,0.506,2727100,14120783.0,5052049435.95,2775518432.7
2019-11-13,'000892,欢瑞世纪,5.15,5.29,5.11,5.15,5.24,-0.09,-1.7176,0.5647,3043282,15740406.48,5052049435.95,2775518432.7
2019-11-12,'000892,欢瑞世纪,5.24,5.3,5.12,5.16,5.22,0.02,0.3831,0.9358,5043510,26328201.49,5140337678.52,2824022638.32
2019-11-11,'000892,欢瑞世纪,5.22,5.41,5.18,5.33,5.31,-0.09,-1.6949,0.7024,3785701,19970857.27,5120718069.06,2813243925.96
2019-11-08,'000892,欢瑞世纪,5.31,5.41,5.27,5.3,5.31,0.0,0.0,1.0524,5671980,30329686.96,5209006311.63,2861748131.58
2019-11-07,'000892,欢瑞世纪,5.31,5.34,5.09,5.16,5.16,0.15,2.907,1.2119,6531609,34282639.95,5209006311.63,2861748131.58
2019-11-06,'000892,欢瑞世纪,5.16,5.25,5.09,5.12,5.12,0.04,0.7813,1.3737,7403429,38302092.33,5061859240.68,2780907788.88
2019-11-05,'000892,欢瑞世纪,5.12,5.31,5.07,5.19,5.26,-0.14,-2.6616,1.34,7221998,37470513.8,5022620021.76,2759350364.16
2019-11-04,'000892,欢瑞世纪,5.26,5.27,5.09,5.15,5.14,0.12,2.3346,1.4018,7555060,39310859.0,5159957287.98,2834801350.68
2019-11-01,'000892,欢瑞世纪,5.14,5.24,4.96,5.08,5.12,0.02,0.3906,1.4647,7894024,40303559.94,5042239631.22,2770129076.52
