日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'002170,芭田股份,3.29,3.33,3.2,3.23,3.23,0.06,1.8576,1.6771,14873514,48681778.91,2917778042.83,2917778042.83
2019-12-30,'002170,芭田股份,3.23,3.23,3.16,3.23,3.23,0.0,0.0,0.8236,7304156,23355835.08,2864566285.21,2864566285.21
2019-12-27,'002170,芭田股份,3.23,3.27,3.21,3.25,3.24,-0.01,-0.3086,0.7961,7060654,22870859.78,2864566285.21,2864566285.21
2019-12-26,'002170,芭田股份,3.24,3.25,3.2,3.22,3.22,0.02,0.6211,0.5828,5168240,16674577.84,2873434911.48,2873434911.48
2019-12-25,'002170,芭田股份,3.22,3.24,3.2,3.22,3.21,0.01,0.3115,0.5953,5279400,17005264.0,2855697658.94,2855697658.94
2019-12-24,'002170,芭田股份,3.21,3.22,3.17,3.18,3.17,0.04,1.2618,0.6205,5503401,17577524.19,2846829032.67,2846829032.67
2019-12-23,'002170,芭田股份,3.17,3.27,3.16,3.27,3.25,-0.08,-2.4615,0.9607,8520000,27382484.0,2811354527.59,2811354527.59
2019-12-20,'002170,芭田股份,3.25,3.3,3.24,3.25,3.25,0.0,0.0,0.9805,8695700,28370251.0,2882303537.75,2882303537.75
2019-12-19,'002170,芭田股份,3.25,3.25,3.22,3.22,3.23,0.02,0.6192,0.7489,6641821,21486375.83,2882303537.75,2882303537.75
2019-12-18,'002170,芭田股份,3.23,3.27,3.22,3.23,3.23,0.0,0.0,0.9537,8458400,27403214.0,2864566285.21,2864566285.21
2019-12-17,'002170,芭田股份,3.23,3.24,3.17,3.19,3.22,0.01,0.3106,1.3943,12365127,39794045.71,2864566285.21,2864566285.21
2019-12-16,'002170,芭田股份,3.22,3.23,3.09,3.19,3.19,0.03,0.9404,1.5228,13505404,42604206.14,2855697658.94,2855697658.94
2019-12-13,'002170,芭田股份,3.19,3.2,3.15,3.17,3.18,0.01,0.3145,0.7764,6885180,21862168.8,2829091780.13,2829091780.13
2019-12-12,'002170,芭田股份,3.18,3.26,3.15,3.16,3.13,0.05,1.5974,1.3081,11600810,37128491.76,2820223153.86,2820223153.86
2019-12-11,'002170,芭田股份,3.13,3.16,3.12,3.15,3.14,-0.01,-0.3185,0.3713,3292731,10311294.72,2775880022.51,2775880022.51
2019-12-10,'002170,芭田股份,3.14,3.15,3.11,3.13,3.13,0.01,0.3195,0.5041,4470933,14015463.96,2784748648.78,2784748648.78
2019-12-09,'002170,芭田股份,3.13,3.15,3.11,3.14,3.13,0.0,0.0,0.4261,3779100,11810066.0,2775880022.51,2775880022.51
2019-12-06,'002170,芭田股份,3.13,3.14,3.11,3.12,3.13,0.0,0.0,0.3737,3314473,10337441.43,2775880022.51,2775880022.51
2019-12-05,'002170,芭田股份,3.13,3.13,3.1,3.11,3.1,0.03,0.9677,0.4831,4284806,13356244.74,2775880022.51,2775880022.51
2019-12-04,'002170,芭田股份,3.1,3.14,3.05,3.06,3.08,0.02,0.6494,0.5179,4592888,14259122.8,2749274143.7,2749274143.7
2019-12-03,'002170,芭田股份,3.08,3.08,3.03,3.05,3.07,0.01,0.3257,0.319,2829501,8634792.04,2731536891.16,2731536891.16
2019-12-02,'002170,芭田股份,3.07,3.11,3.05,3.11,3.09,-0.02,-0.6472,0.4556,4040700,12430513.0,2722668264.89,2722668264.89
