日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'002385,大北农,4.98,4.98,4.98,4.98,4.53,0.45,9.9338,1.3841,57320817,285457668.66,20892740885.1,20623364507.9
2019-12-30,'002385,大北农,4.53,4.53,4.02,4.1,4.12,0.41,9.9515,3.1744,131458205,567169254.68,19004842612.3,18759807474.1
2019-12-27,'002385,大北农,4.12,4.15,4.05,4.08,4.07,0.05,1.2285,1.2293,50907239,208684652.99,17284757519.4,17061899954.4
2019-12-26,'002385,大北农,4.07,4.11,4.05,4.06,4.08,-0.01,-0.2451,0.5222,21623833,88110413.5,17074991044.6,16854838061.7
2019-12-25,'002385,大北农,4.08,4.12,4.06,4.12,4.12,-0.04,-0.9709,0.5952,24650358,100645178.02,17116944339.6,16896250440.2
2019-12-24,'002385,大北农,4.12,4.17,4.11,4.13,4.11,0.01,0.2433,0.5683,23535904,97050811.16,17284757519.4,17061899954.4
2019-12-23,'002385,大北农,4.17,4.29,4.17,4.23,4.27,-0.1,-2.3419,1.0767,44588050,188809909.9,17494523994.2,17268961847.0
2019-12-20,'002385,大北农,4.27,4.29,4.19,4.2,4.2,0.07,1.6667,1.1598,48030589,204371248.93,17914056943.7,17683085632.3
2019-12-19,'002385,大北农,4.2,4.22,4.17,4.2,4.19,0.01,0.2387,0.6432,26637887,111694261.06,17620383879.0,17393198982.6
2019-12-18,'002385,大北农,4.19,4.26,4.18,4.21,4.22,-0.03,-0.7109,0.8992,37239572,156843329.11,17578430584.0,17351786604.1
2019-12-17,'002385,大北农,4.22,4.24,4.05,4.07,4.07,0.15,3.6855,1.5332,63493519,264448800.17,17704290468.9,17476023739.7
2019-12-16,'002385,大北农,4.07,4.07,4.02,4.05,4.05,0.02,0.4938,0.9509,39380624,159417376.36,17074991044.6,16854838061.7
2019-12-13,'002385,大北农,4.05,4.07,3.99,4.06,4.05,0.0,0.0,0.9362,38769895,155821598.48,16991084454.8,16772013304.6
2019-12-12,'002385,大北农,4.05,4.1,4.02,4.08,4.08,-0.03,-0.7353,0.6671,27625667,112061827.29,17184125153.2,16772013304.6
2019-12-11,'002385,大北农,4.08,4.19,4.06,4.19,4.18,-0.1,-2.3923,0.9153,37904944,155200086.53,17311414969.2,16896250440.2
2019-12-10,'002385,大北农,4.18,4.26,4.15,4.26,4.26,-0.08,-1.8779,0.7847,32494251,136002741.62,17735714355.7,17310374225.5
2019-12-09,'002385,大北农,4.26,4.31,4.25,4.3,4.29,-0.03,-0.6993,0.5027,20816708,88822357.78,18075153864.9,17641673253.8
2019-12-06,'002385,大北农,4.29,4.31,4.26,4.28,4.29,0.0,0.0,0.3428,14197993,60767203.69,18202443680.8,17765910389.4
2019-12-05,'002385,大北农,4.29,4.3,4.25,4.3,4.29,0.0,0.0,0.373,15446180,65954192.36,18202443680.8,17765910389.4
2019-12-04,'002385,大北农,4.29,4.32,4.26,4.3,4.32,-0.03,-0.6944,0.3259,13496282,57836229.06,18202443680.8,17765910389.4
2019-12-03,'002385,大北农,4.32,4.37,4.23,4.35,4.36,-0.04,-0.9174,0.4194,17369097,74739067.22,18329733496.8,17890147525.0
2019-12-02,'002385,大北农,4.36,4.42,4.34,4.37,4.34,0.02,0.4608,0.3593,14877846,65081817.01,18499453251.4,18055797039.1
2019-11-29,'002385,大北农,4.34,4.36,4.3,4.33,4.35,-0.01,-0.2299,0.3638,15066573,65170263.48,18414593374.1,17972972282.0
2019-11-28,'002385,大北农,4.35,4.41,4.3,4.31,4.32,0.03,0.6944,0.6068,25130334,109615285.68,18457023312.8,18014384660.5
2019-11-27,'002385,大北农,4.32,4.39,4.31,4.32,4.34,-0.02,-0.4608,0.5046,20896436,90819393.36,18329733496.8,17890147525.0
2019-11-26,'002385,大北农,4.34,4.36,4.26,4.27,4.27,0.07,1.6393,0.5684,23538256,101404962.66,18414593374.1,17972972282.0
2019-11-25,'002385,大北农,4.27,4.36,4.25,4.32,4.29,-0.02,-0.4662,0.4279,17718864,75850002.96,18117583803.5,17683085632.3
2019-11-22,'002385,大北农,4.29,4.4,4.2,4.2,4.21,0.08,1.9002,0.8252,34173974,146828655.85,18202443680.8,17765910389.4
2019-11-21,'002385,大北农,4.21,4.26,4.18,4.25,4.27,-0.06,-1.4052,0.5174,21424870,90273341.55,17863004171.7,17434611361.1
2019-11-20,'002385,大北农,4.27,4.32,4.25,4.31,4.33,-0.06,-1.3857,0.5067,20984684,89814764.68,18117583803.5,17683085632.3
2019-11-19,'002385,大北农,4.33,4.38,4.3,4.33,4.32,0.01,0.2315,0.4925,20395778,88257177.02,18372163435.5,17931559903.5
2019-11-18,'002385,大北农,4.32,4.34,4.18,4.25,4.31,0.01,0.232,0.5495,22755757,97703945.6,18329733496.8,17890147525.0
2019-11-15,'002385,大北农,4.31,4.41,4.27,4.4,4.41,-0.1,-2.2676,0.6955,28804330,124404418.1,18287303558.2,17848735146.4
2019-11-14,'002385,大北农,4.41,4.45,4.37,4.44,4.43,-0.02,-0.4515,0.5446,22551390,99393815.81,18711602944.7,18262858931.7
2019-11-13,'002385,大北农,4.43,4.53,4.41,4.52,4.53,-0.1,-2.2075,0.6981,28908306,128669613.99,18796462822.0,18345683688.8
2019-11-12,'002385,大北农,4.53,4.57,4.45,4.5,4.52,0.01,0.2212,0.693,28699187,129358083.64,19220762208.5,18759807474.1
2019-11-11,'002385,大北农,4.52,4.63,4.48,4.54,4.61,-0.09,-1.9523,0.9604,39772955,180211264.39,19178332269.8,18718395095.6
2019-11-08,'002385,大北农,4.61,4.74,4.59,4.72,4.72,-0.11,-2.3305,1.0853,44946683,208562639.96,19560201717.7,19091106502.3
2019-11-07,'002385,大北农,4.72,4.8,4.48,4.51,4.52,0.2,4.4248,1.7988,74491037,348931059.41,20026931042.8,19546642666.2
2019-11-06,'002385,大北农,4.52,4.7,4.48,4.66,4.8,-0.28,-5.8333,1.8798,77848149,355523147.04,19178332269.8,18718395095.6
2019-11-05,'002385,大北农,4.8,4.88,4.78,4.8,4.8,0.0,0.0,0.9128,37800448,182233816.02,20366370552.0,19877941694.4
2019-11-04,'002385,大北农,4.8,4.87,4.74,4.76,4.82,-0.02,-0.4149,0.7979,33043316,158533430.61,20366370552.0,19877941694.4
