日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'300184,力源信息,7.25,7.42,7.21,7.32,7.32,-0.07,-0.9563,2.8222,21183560,154493632.14,8541647109.5,5441828532.75
2019-12-30,'300184,力源信息,7.32,7.4,7.16,7.35,7.47,-0.15,-2.008,3.9442,29604680,215833670.4,8624118185.04,5494370325.48
2019-12-27,'300184,力源信息,7.47,7.93,7.46,7.8,7.86,-0.39,-4.9618,5.9427,44606052,343957040.86,8800841918.34,5606959881.33
2019-12-26,'300184,力源信息,7.86,7.97,7.73,7.9,7.93,-0.07,-0.8827,5.1042,38312261,299474167.55,9260323624.92,5899692726.54
2019-12-25,'300184,力源信息,7.93,8.1,7.65,7.75,7.78,0.15,1.928,6.7987,51030869,403437643.45,9342794700.46,5952234519.27
2019-12-24,'300184,力源信息,7.78,7.84,7.62,7.65,7.63,0.15,1.9659,3.4765,26094154,201897398.29,9166070967.16,5839644963.42
2019-12-23,'300184,力源信息,7.63,7.84,7.52,7.7,7.72,-0.09,-1.1658,4.3886,32941038,253512664.16,8989347233.86,5727055407.57
2019-12-20,'300184,力源信息,7.72,8.15,7.69,8.1,8.05,-0.33,-4.0994,5.8527,43930126,347532796.64,9095381473.84,5794609141.08
2019-12-19,'300184,力源信息,8.05,8.12,7.94,8.08,8.16,-0.11,-1.348,6.1517,46174328,371038840.68,9484173687.1,6042306163.95
2019-12-18,'300184,力源信息,8.16,8.3,7.8,7.85,7.86,0.3,3.8168,11.5557,86736783,698604488.27,9613771091.52,6124871838.24
2019-12-17,'300184,力源信息,7.86,7.97,7.76,7.79,7.86,0.0,0.0,8.6633,65026360,511634614.52,9260323624.92,5899692726.54
2019-12-16,'300184,力源信息,7.86,7.87,7.46,7.49,7.48,0.38,5.0802,9.4496,70928243,544394242.22,9260323624.92,5899692726.54
2019-12-13,'300184,力源信息,7.48,7.6,7.34,7.55,7.51,-0.03,-0.3995,6.8597,51488982,384580767.91,8812623500.56,5614465851.72
2019-12-12,'300184,力源信息,7.51,7.91,7.48,7.79,7.72,-0.21,-2.7202,10.3243,77493977,598335939.29,8847968247.22,5636983762.89
2019-12-11,'300184,力源信息,7.72,7.94,7.62,7.78,7.83,-0.11,-1.4049,7.2934,54743894,423777991.21,9095381473.84,5794609141.08
