日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'300189,神农科技,3.61,3.8,3.61,3.7,3.61,0.0,0.0,1.0365,10614136,39141947.46,3696640000.0,3696640000.0
2019-12-30,'300189,神农科技,3.61,3.64,3.4,3.53,3.54,0.07,1.9774,0.8533,8737406,30600664.6,3696640000.0,3696640000.0
2019-12-27,'300189,神农科技,3.54,3.58,3.53,3.54,3.54,0.0,0.0,0.4603,4713300,16738054.0,3624960000.0,3624960000.0
2019-12-26,'300189,神农科技,3.54,3.59,3.52,3.56,3.58,-0.04,-1.1173,0.4662,4774100,16920634.0,3624960000.0,3624960000.0
2019-12-25,'300189,神农科技,3.58,3.67,3.58,3.66,3.65,-0.07,-1.9178,0.4926,5043950,18157911.5,3665920000.0,3665920000.0
2019-12-24,'300189,神农科技,3.65,3.66,3.59,3.61,3.6,0.05,1.3889,0.5186,5310595,19255157.1,3737600000.0,3737600000.0
2019-12-23,'300189,神农科技,3.6,3.77,3.6,3.75,3.75,-0.15,-4.0,0.9088,9306400,34053827.0,3686400000.0,3686400000.0
2019-12-20,'300189,神农科技,3.75,3.82,3.74,3.79,3.78,-0.03,-0.7937,0.5494,5625480,21253143.0,3840000000.0,3840000000.0
2019-12-19,'300189,神农科技,3.78,3.85,3.78,3.8,3.84,-0.06,-1.5625,0.6093,6239550,23699402.0,3870720000.0,3870720000.0
2019-12-18,'300189,神农科技,3.84,3.89,3.81,3.81,3.86,-0.02,-0.5181,0.6537,6694050,25728501.02,3932160000.0,3932160000.0
2019-12-17,'300189,神农科技,3.86,3.89,3.81,3.89,3.88,-0.02,-0.5155,0.6804,6967402,26756781.12,3952640000.0,3952640000.0
2019-12-16,'300189,神农科技,3.88,3.92,3.83,3.85,3.89,-0.01,-0.2571,0.5582,5715990,22117538.3,3973120000.0,3973120000.0
2019-12-13,'300189,神农科技,3.89,3.92,3.76,3.76,3.76,0.13,3.4574,0.8057,8250424,31800044.42,3983360000.0,3983360000.0
2019-12-12,'300189,神农科技,3.76,3.8,3.75,3.77,3.77,-0.01,-0.2653,0.4227,4328280,16357663.8,3850240000.0,3850240000.0
2019-12-11,'300189,神农科技,3.77,3.85,3.76,3.81,3.81,-0.04,-1.0499,0.3966,4061200,15340031.0,3860480000.0,3860480000.0
2019-12-10,'300189,神农科技,3.81,3.86,3.73,3.86,3.86,-0.05,-1.2953,0.817,8365726,31649703.48,3901440000.0,3901440000.0
2019-12-09,'300189,神农科技,3.86,3.96,3.82,3.92,3.95,-0.09,-2.2785,0.9629,9859860,38305352.8,3952640000.0,3952640000.0
2019-12-06,'300189,神农科技,3.95,4.03,3.94,4.01,4.01,-0.06,-1.4963,0.5997,6141300,24360586.5,4044800000.0,4044800000.0
2019-12-05,'300189,神农科技,4.01,4.06,3.95,4.06,4.06,-0.05,-1.2315,0.7091,7261170,29099351.3,4106240000.0,4106240000.0
2019-12-04,'300189,神农科技,4.06,4.11,4.01,4.08,4.08,-0.02,-0.4902,0.5722,5859000,23734364.0,4157440000.0,4157440000.0
2019-12-03,'300189,神农科技,4.08,4.08,3.91,3.97,3.96,0.12,3.0303,0.7141,7312804,29310863.57,4177920000.0,4177920000.0
2019-12-02,'300189,神农科技,3.96,4.03,3.94,4.0,3.98,-0.02,-0.5025,0.6737,6898805,27438146.8,4055040000.0,4055040000.0
2019-11-29,'300189,神农科技,3.98,4.18,3.97,4.18,4.16,-0.18,-4.3269,1.237,12666653,51174857.49,4075520000.0,4075520000.0
2019-11-28,'300189,神农科技,4.16,4.26,4.03,4.03,4.06,0.1,2.4631,1.9706,20179286,84348482.05,4259840000.0,4259840000.0
2019-11-27,'300189,神农科技,4.06,4.12,3.91,3.97,3.95,0.11,2.7848,1.1772,12055005,48859452.18,4157440000.0,4157440000.0
