日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'300248,新开普,8.21,8.23,8.09,8.11,8.15,0.06,0.7362,1.2556,6040459,49334325.8,3949769383.95,3949769383.95
2019-12-30,'300248,新开普,8.15,8.19,7.86,8.02,8.05,0.1,1.2422,1.4302,6880446,55509463.3,3920903834.25,3920903834.25
2019-12-27,'300248,新开普,8.05,8.33,8.03,8.2,8.22,-0.17,-2.0681,1.7709,8519461,69607737.34,3872794584.75,3872794584.75
2019-12-26,'300248,新开普,8.22,8.45,8.14,8.45,8.28,-0.06,-0.7246,2.5678,12353554,101573269.71,3954580308.9,3954580308.9
2019-12-25,'300248,新开普,8.28,8.28,7.97,8.01,8.01,0.27,3.3708,2.3441,11277386,91792193.14,3983445858.6,3983445858.6
2019-12-24,'300248,新开普,8.01,8.03,7.7,7.74,7.74,0.27,3.4884,1.2978,6243825,49346792.58,3853550884.95,3853550884.95
2019-12-23,'300248,新开普,7.74,7.96,7.71,7.9,7.9,-0.16,-2.0253,1.1827,5689791,44634362.94,3723655911.3,3723655911.3
2019-12-20,'300248,新开普,7.9,8.12,7.87,8.12,8.06,-0.16,-1.9851,1.2528,6027143,48113559.45,3800630710.5,3800630710.5
2019-12-19,'300248,新开普,8.06,8.11,7.94,7.96,7.96,0.1,1.2563,1.2641,6081530,48829691.49,3877605509.7,3877605509.7
2019-12-18,'300248,新开普,7.96,8.1,7.91,7.96,7.96,0.0,0.0,1.4622,7034437,56347830.71,3829496260.2,3829496260.2
2019-12-17,'300248,新开普,7.96,8.02,7.84,7.9,7.89,0.07,0.8872,1.8458,8879821,70488082.34,3829496260.2,3829496260.2
2019-12-16,'300248,新开普,7.89,7.9,7.71,7.71,7.7,0.19,2.4675,1.643,7904286,61875793.14,3795819785.55,3795819785.55
2019-12-13,'300248,新开普,7.7,7.71,7.59,7.63,7.61,0.09,1.1827,1.2898,6205085,47565208.66,3704412211.5,3704412211.5
2019-12-12,'300248,新开普,7.61,7.7,7.59,7.66,7.71,-0.1,-1.297,1.1573,5567530,42543837.1,3661113886.95,3661113886.95
2019-12-11,'300248,新开普,7.71,7.74,7.56,7.57,7.64,0.07,0.9162,1.2147,5843911,44768297.19,3709223136.45,3709223136.45
2019-12-10,'300248,新开普,7.64,7.67,7.51,7.66,7.57,0.07,0.9247,1.2702,6110911,46403889.89,3675546661.8,3675546661.8
2019-12-09,'300248,新开普,7.57,7.61,7.48,7.53,7.5,0.07,0.9333,0.996,4791684,36221240.29,3641870187.15,3641870187.15
2019-12-06,'300248,新开普,7.5,7.53,7.41,7.45,7.46,0.04,0.5362,0.8734,4201939,31404611.42,3608193712.5,3608193712.5
2019-12-05,'300248,新开普,7.46,7.48,7.33,7.36,7.32,0.14,1.9126,1.2261,5898569,43766233.53,3588950012.7,3588950012.7
2019-12-04,'300248,新开普,7.32,7.38,7.29,7.35,7.38,-0.06,-0.813,0.5857,2817606,20644791.38,3521597063.4,3521597063.4
2019-12-03,'300248,新开普,7.38,7.41,7.24,7.32,7.34,0.04,0.545,0.7823,3763404,27639138.6,3550462613.1,3550462613.1
2019-12-02,'300248,新开普,7.34,7.46,7.3,7.41,7.36,-0.02,-0.2717,0.9798,4713616,34808023.34,3531218913.3,3531218913.3
2019-11-29,'300248,新开普,7.36,7.42,7.25,7.4,7.4,-0.04,-0.5405,0.844,4060332,29772895.28,3540840763.2,3540840763.2
2019-11-28,'300248,新开普,7.4,7.49,7.33,7.36,7.44,-0.04,-0.5376,0.8195,3942479,29121000.84,3560084463.0,3560084463.0
2019-11-27,'300248,新开普,7.44,7.54,7.36,7.41,7.43,0.01,0.1346,1.0079,4849099,36210548.79,3579328162.8,3579328162.8
