日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'300259,新天科技,4.36,4.53,4.32,4.45,4.48,-0.12,-2.6786,2.8711,33754403,148201119.17,5125868696.88,5125868696.88
2019-12-30,'300259,新天科技,4.48,4.56,4.24,4.44,4.52,-0.04,-0.885,3.7652,44265421,195073228.56,5266947651.84,5266947651.84
2019-12-27,'300259,新天科技,4.52,4.7,4.42,4.52,4.56,-0.04,-0.8772,5.9249,69656012,314946558.39,5313973970.16,5313973970.16
2019-12-26,'300259,新天科技,4.56,4.73,4.23,4.25,4.3,0.26,6.0465,8.1242,95512412,431046061.61,5361000288.48,5361000288.48
2019-12-25,'300259,新天科技,4.3,4.42,4.14,4.19,4.3,0.0,0.0,5.7123,67156891,285151363.74,5055329219.4,5055329219.4
2019-12-24,'300259,新天科技,4.3,4.45,4.13,4.37,4.22,0.08,1.8957,8.8329,103844994,446512436.01,5055329219.4,5055329219.4
2019-12-23,'300259,新天科技,4.22,4.22,4.22,4.22,3.84,0.38,9.8958,1.3122,15427354,65103433.88,4961276582.76,4961276582.76
2019-12-20,'300259,新天科技,3.84,3.92,3.83,3.91,3.89,-0.05,-1.2853,0.9228,10849140,41969141.0,4514526558.72,4514526558.72
2019-12-19,'300259,新天科技,3.89,3.96,3.85,3.85,3.85,0.04,1.039,1.2327,14492271,56564058.31,4573309456.62,4573309456.62
2019-12-18,'300259,新天科技,3.85,3.92,3.84,3.87,3.87,-0.02,-0.5168,1.0939,12860950,49816619.4,4526283138.3,4526283138.3
2019-12-17,'300259,新天科技,3.87,3.95,3.84,3.89,3.88,-0.01,-0.2577,1.5957,18759890,72740371.21,4549796297.46,4549796297.46
2019-12-16,'300259,新天科技,3.88,3.9,3.75,3.77,3.76,0.12,3.1915,1.7938,21089048,81043355.02,4561552877.04,4561552877.04
2019-12-13,'300259,新天科技,3.76,3.77,3.73,3.76,3.73,0.03,0.8043,0.873,10263311,38490892.32,4420473922.08,4420473922.08
2019-12-12,'300259,新天科技,3.73,3.78,3.71,3.72,3.74,-0.01,-0.2674,0.9994,11749697,44029529.58,4385204183.34,4385204183.34
2019-12-11,'300259,新天科技,3.74,3.77,3.66,3.67,3.69,0.05,1.355,1.2318,14481640,53899341.09,4396960762.92,4396960762.92
2019-12-10,'300259,新天科技,3.69,3.7,3.63,3.65,3.67,0.02,0.545,0.7418,8720528,32027885.27,4338177865.02,4338177865.02
2019-12-09,'300259,新天科技,3.67,3.7,3.63,3.66,3.65,0.02,0.5479,0.7273,8550857,31429567.36,4314664705.86,4314664705.86
2019-12-06,'300259,新天科技,3.65,3.66,3.61,3.64,3.65,0.0,0.0,0.5913,6951960,25229239.6,4291151546.7,4291151546.7
2019-12-05,'300259,新天科技,3.65,3.65,3.6,3.6,3.58,0.07,1.9553,0.5953,6998760,25342408.2,4291151546.7,4291151546.7
2019-12-04,'300259,新天科技,3.58,3.6,3.55,3.58,3.59,-0.01,-0.2786,0.2747,3229207,11548309.59,4208855489.64,4208855489.64
2019-12-03,'300259,新天科技,3.59,3.59,3.52,3.54,3.56,0.03,0.8427,0.3854,4530586,16133190.22,4220612069.22,4220612069.22
2019-12-02,'300259,新天科技,3.56,3.66,3.55,3.66,3.58,-0.02,-0.5587,0.7167,8425356,30299671.8,4185342330.48,4185342330.48
2019-11-29,'300259,新天科技,3.58,3.59,3.51,3.55,3.52,0.06,1.7045,0.408,4797228,16983596.96,4208855489.64,4208855489.64
2019-11-28,'300259,新天科技,3.52,3.57,3.51,3.56,3.53,-0.01,-0.2833,0.3369,3960380,13998087.6,4138316012.16,4138316012.16
2019-11-27,'300259,新天科技,3.53,3.58,3.53,3.58,3.57,-0.04,-1.1204,0.3947,4640708,16493234.92,4150072591.74,4150072591.74
2019-11-26,'300259,新天科技,3.57,3.61,3.56,3.59,3.57,0.0,0.0,0.3363,3954060,14166181.8,4197098910.06,4197098910.06
2019-11-25,'300259,新天科技,3.57,3.64,3.55,3.64,3.63,-0.06,-1.6529,0.6353,7469460,26742450.0,4197098910.06,4197098910.06
2019-11-22,'300259,新天科技,3.63,3.73,3.61,3.68,3.68,-0.05,-1.3587,0.6712,7891517,29009334.99,4267638387.54,4267638387.54
2019-11-21,'300259,新天科技,3.68,3.69,3.62,3.65,3.66,0.02,0.5464,0.4647,5463460,20004831.0,4326421285.44,4326421285.44
2019-11-20,'300259,新天科技,3.66,3.72,3.64,3.7,3.69,-0.03,-0.813,0.6325,7436420,27352033.0,4302908126.28,4302908126.28
2019-11-19,'300259,新天科技,3.69,3.7,3.56,3.58,3.58,0.11,3.0726,0.6686,7860499,28670897.48,4338177865.02,4338177865.02
2019-11-18,'300259,新天科技,3.58,3.59,3.52,3.58,3.57,0.01,0.2801,0.504,5925388,21080019.15,4208855489.64,4208855489.64
2019-11-15,'300259,新天科技,3.57,3.64,3.57,3.64,3.63,-0.06,-1.6529,0.4428,5206280,18752161.6,4197098910.06,4197098910.06
2019-11-14,'300259,新天科技,3.63,3.63,3.58,3.6,3.59,0.04,1.1142,0.4757,5592168,20221281.8,4267638387.54,4267638387.54
2019-11-13,'300259,新天科技,3.59,3.61,3.56,3.57,3.58,0.01,0.2793,0.3931,4620940,16569879.0,4220612069.22,4220612069.22
2019-11-12,'300259,新天科技,3.58,3.6,3.51,3.53,3.56,0.02,0.5618,0.623,7324860,26075031.2,4208855489.64,4208855489.64
2019-11-11,'300259,新天科技,3.56,3.67,3.54,3.67,3.71,-0.15,-4.0431,0.8792,10336660,37181123.0,4185342330.48,4185342330.48
2019-11-08,'300259,新天科技,3.71,3.79,3.71,3.78,3.76,-0.05,-1.3298,0.6651,7818827,29251470.11,4361691024.18,4361691024.18
2019-11-07,'300259,新天科技,3.76,3.78,3.69,3.71,3.73,0.03,0.8043,0.8418,9897240,37079814.0,4420473922.08,4420473922.08
2019-11-06,'300259,新天科技,3.73,3.77,3.7,3.76,3.76,-0.03,-0.7979,0.744,8746564,32557669.44,4385204183.34,4385204183.34
2019-11-05,'300259,新天科技,3.76,3.79,3.7,3.7,3.69,0.07,1.897,1.3001,15284500,57284738.42,4420473922.08,4420473922.08
2019-11-04,'300259,新天科技,3.69,3.75,3.69,3.71,3.73,-0.04,-1.0724,0.8176,9611912,35713086.12,4338177865.02,4338177865.02
2019-11-01,'300259,新天科技,3.73,3.73,3.63,3.63,3.66,0.07,1.9126,1.0946,12868515,47662319.08,4385204183.34,4385204183.34
