日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-12-31,'300643,万通智控,22.2,22.65,22.02,22.19,22.14,0.06,0.271,21.3535,17880365,398977520.96,4440000000.0,1858915690.2
2019-12-30,'300643,万通智控,22.14,24.11,22.14,24.07,24.6,-2.46,-10.0,30.0876,25193858,564146606.46,4428000000.0,1853891593.74
2019-12-27,'300643,万通智控,24.6,25.5,24.02,24.57,24.45,0.15,0.6135,32.4107,27139074,671439511.01,4920000000.0,2059879548.6
2019-12-26,'300643,万通智控,24.45,25.19,23.88,24.9,25.7,-1.25,-4.8638,36.3109,30404904,742442211.67,4890000000.0,2047319307.45
2019-12-25,'300643,万通智控,25.7,26.27,24.82,25.0,25.61,0.09,0.3514,30.4527,25499529,655421726.15,5140000000.0,2151987983.7
2019-12-24,'300643,万通智控,25.61,26.2,24.37,25.77,25.98,-0.37,-1.4242,30.4118,25465312,641258105.33,5122000000.0,2144451839.01
2019-12-23,'300643,万通智控,25.98,25.98,24.08,24.97,26.0,-0.02,-0.0769,32.1379,26910632,673526720.06,5196000000.0,2175433767.18
2019-12-20,'300643,万通智控,26.0,27.3,25.55,27.14,26.7,-0.7,-2.6217,41.423,34685509,915867074.69,5200000000.0,2177108466.0
2019-12-19,'300643,万通智控,26.7,28.35,25.99,27.71,27.98,-1.28,-4.5747,45.3979,38013929,1020327853.44,5340000000.0,2235722924.7
2019-12-18,'300643,万通智控,27.98,27.98,26.0,26.99,25.44,2.54,9.9843,48.0795,40259325,1113380283.17,5596000000.0,2342903649.18
2019-12-17,'300643,万通智控,25.44,25.44,24.88,25.44,23.13,2.31,9.987,27.0323,22635486,575229495.19,5088000000.0,2130216899.04
2019-12-16,'300643,万通智控,23.13,23.13,21.81,21.85,21.03,2.1,9.9857,14.2065,11895793,268936902.0,4626000000.0,1936789185.33
2019-12-13,'300643,万通智控,21.03,21.88,19.92,20.25,20.02,1.01,5.045,50.6837,42439963,890830944.5,4206000000.0,1760945809.23
2019-12-12,'300643,万通智控,20.02,20.44,19.1,19.79,21.14,-1.12,-5.298,45.5314,38125682,754966459.93,4004000000.0,1676373518.82
2019-12-11,'300643,万通智控,21.14,22.36,18.8,19.55,20.33,0.81,3.9843,59.2564,49618336,1009944166.14,4228000000.0,1770156652.74
2019-12-10,'300643,万通智控,20.33,21.36,18.79,19.4,19.6,0.73,3.7245,56.0995,46974888,934083606.5,4066000000.0,1702331350.53
2019-12-09,'300643,万通智控,19.6,20.59,18.8,19.53,18.89,0.71,3.7586,51.5796,43190122,851566243.34,3920000000.0,1641204843.6
2019-12-06,'300643,万通智控,18.89,18.89,17.21,18.0,17.17,1.72,10.0175,56.3711,47202299,866905996.97,3778000000.0,1581753035.49
2019-12-05,'300643,万通智控,17.17,17.17,16.51,16.94,15.61,1.56,9.9936,16.8398,14100822,238763992.81,3434000000.0,1437728936.97
2019-12-04,'300643,万通智控,15.61,15.61,14.91,15.18,14.19,1.42,10.007,14.5426,12177245,187077751.3,3122000000.0,1307102429.01
2019-12-03,'300643,万通智控,14.19,14.19,12.59,12.59,12.9,1.29,10.0,27.3447,22897056,308023604.59,2838000000.0,1188198812.79
2019-12-02,'300643,万通智控,12.9,12.9,11.8,12.28,11.73,1.17,9.9744,27.5536,23072019,283901865.55,2580000000.0,1080180738.9
2019-11-29,'300643,万通智控,11.73,11.73,10.55,10.63,10.66,1.07,10.0375,18.8476,15781985,177656062.74,2346000000.0,982210857.93
2019-11-28,'300643,万通智控,10.66,10.96,10.47,10.83,10.89,-0.23,-2.112,9.4685,7928402,84643983.43,2132000000.0,892614471.06
2019-11-27,'300643,万通智控,10.89,11.15,10.63,10.77,10.87,0.02,0.184,11.4548,9591668,104353838.42,2178000000.0,911873507.49
2019-11-26,'300643,万通智控,10.87,11.16,10.72,10.99,11.29,-0.42,-3.7201,15.4813,12963256,141359408.9,2174000000.0,910198808.67
2019-11-25,'300643,万通智控,11.29,11.96,10.98,11.24,11.18,0.11,0.9839,21.8471,18293622,209084846.33,2258000000.0,945367483.89
2019-11-22,'300643,万通智控,11.18,11.78,10.72,10.82,10.88,0.3,2.7574,22.3172,18687303,210220131.98,2236000000.0,936156640.38
2019-11-21,'300643,万通智控,10.88,11.36,10.07,10.21,10.35,0.53,5.1208,21.9922,18415165,199651928.85,2176000000.0,911036158.08
2019-11-20,'300643,万通智控,10.35,10.78,10.25,10.41,10.5,-0.15,-1.4286,13.5402,11337893,118691270.41,2070000000.0,866656639.35
2019-11-19,'300643,万通智控,10.5,10.67,10.02,10.23,10.25,0.25,2.439,16.3403,13682559,141513705.65,2100000000.0,879216880.5
2019-11-18,'300643,万通智控,10.25,10.38,9.96,10.09,9.9,0.35,3.5354,13.5116,11313900,115006234.0,2050000000.0,858283145.25
2019-11-15,'300643,万通智控,9.9,10.38,9.84,10.23,10.42,-0.52,-4.9904,17.591,14729775,149054712.21,1980000000.0,828975915.9
